Ticker,ISIN,Industry,TR_WomenEmployees,TR_AvgTrainingHours,TR_TradeUnionRep,TR_AnalyticLostDays
VTGY,TB7AKODO3L51,Media and publishing,0.9,0.11,0.17,0.78
GRGJ,QSL1NW18W5N3,Metals and mining ,0.48,0.79,0.69,
SSSX,SRCRU6A2VVJ3,Multiline utilities,,0.59,0.47,0.9
MBL,PD6CMONZLPC8,Natural gas utilities,0.67,0.2,0.16,0.93
YRI,FQANG0IQ6HA4,Office equipment,0.15,0.75,0.33,0.73
VURA,OA3NURI2WRZ2,Oil and gas,0.4,0.54,0.2,0.82
RYNK,WWYE2H3DK465,Passenger transportation services,0.63,0.69,0.01,0.63
SHUN,NU6OTKZW9MD0,Passenger transportation services,0.16,0.27,0.71,0.82
CPRT,VWEK9H73JR41,Personal and household,0.18,0.6,0.96,0.22
EJN,NPW807FS4RL8,Personal and household,0.22,0.45,0.37,0.92
RIL,FD3S0OPJ1WD8,Personal and household,0.71,0.55,0.7,
SKZF,IIJVF8AHNR94,Pharmaceuticals,0.6,0.34,0.52,0.5
DAM,VA0U38NOWJY7,Real estate operations,0.4,0.32,0.5,0.74
HSLE,VYFJ3Z1IQHK0,Real estate operations,0.19,0.27,0.75,0.75
LQYH,VHBM01QEBGI4,Real estate operations,0.87,0.4,0.08,0.61
LTRF,BEEHXB4Z64S0,Real estate operations,0.24,0.52,0.32,0.88
BPUA,NN9U0JWRXH18,Renewable energy,0.66,0.38,0.79,0.13
SAKI,RSDD40AAI0M3,Renewable energy,0.79,0.61,0.27,0.29
BSP,VK8XD3QLTHJ2,Residential and commercial REITs,0.71,0.63,0.24,0.38
XAMT,EKLU64SGAL05,Residential and commercial REITs,0.56,0.45,0.89,0.06
YRP,AI6HOVNSU243,Semiconductors,0.76,0.58,,0.62
OXW,PW4KYPBAZZH0,Software and IT services,0.11,0.26,0.76,0.83
YNL,KFKBXRGCWLY8,Software and IT services,0.16,0.05,0.87,0.88
POKD,TFT93TQK0S16,Specialty retailers,0.08,0.72,0.52,0.64
GEFF,SBJ2I9CUM4C4,Telecommunications services,0.58,0.09,0.33,0.96
GQMX,BBYHRYA8J9S9,Telecommunications services,0.36,0.62,0.24,0.74
JSN,OBYYYYED3JZ8,Telecommunications services,0.41,0.02,0.55,0.98
NFKK,NAJKKUD02IQ7,Telecommunications services,0.86,0.14,0.38,0.58
ERC,NMGT7STNHCK9,Textiles and apparel,0.34,0.32,0.67,0.63
GKA,JQKKFEQY81A3,Transport infrastructure,0.53,0.76,,0.67
PVE,JFT5UBG9TVN2,Water and related utilities,0.03,0.89,0.43,0.61
UTYY,XWCMTEAXJ4C0,Water and related utilities,0.64,0.09,0.85,0.38
GEQ,ZZFUYJXHTA16,Diversified retail,0.96,0.57,0.13,0.3
HDMB,NLZ0BF45WNR5,Aerospace and defense,0.62,0.46,0.64,0.23
PNQL,VBVWI0F9RIX3,Aerospace and defense,0.66,0.8,0.11,0.38
GXQZ,HGSB9OX5V0B7,Beverages,0.72,0.56,0.67,
SPXP,GC549YJKODE4,Biotechnology and medical research,0.31,0.68,0.08,0.88
GOQR,DCSGIATQBZL8,Collective investments,0.11,0.8,0.75,0.29
SCKU,AG58CT7VJFC7,Collective investments,0.8,0.86,0.18,0.11
ZFKU,MFC5X5AUYCB2,Construction materials ,0.91,0.77,0.15,0.12
IEW,UN86K3U9WO05,Containers and packaging ,0.27,0.6,0.4,0.68
IER,GITMRDSMD7O2,Diversified retail,0.43,0.6,0.03,0.89
GWI,ZJ49UE4AVJJ0,Food and drug retailing,0.92,0.21,0.75,0.07
WEE,DAT85G67S8V9,Food and tobacco,0.26,0.48,0.36,0.85
WEZ,GIQ6YFK822N7,Food and tobacco,0.47,0.8,,0.68
XKZ,QXDOYDMU3EZ8,Food and tobacco,0.58,0.45,0.92,0
DIVT,QHX8G4M91EX2,Healthcare equipment and supplies,0.31,0.81,0.54,0.29
IXMW,BU75GSXHQPK3,Healthcare equipment and supplies,0.14,0.32,0.85,0.64
EEH,KLX53ODL73E5,Healthcare providers and services,0.71,0.8,0.33,0.11
PEH,NGN1XGUNM687,Household goods,0.8,0.26,0.1,0.79
PXZ,VHS402UTTJS1,Household goods,0.77,0.55,0.59,0.04
WEBK,LOGAX8XG1NN4,Household goods,0.76,0.57,0.51,0.11
MOTP,NY5P1JCRPIK4,Industrial conglomerates,0.29,0.64,0.9,0.12
SDXI,ZMUEA12SI1W5,Industrial conglomerates,0.28,0.88,0.79,
FJWM,DZJEHQBC22C9,Investment banking and investment services,0.42,0.6,0.26,0.67
WGZ,BJM0V9A0Z956,"Machinery, tools, heavy vehicles, trains and ships",0.14,0.33,0.82,0.66
IMSU,RIYI5AMRLK82,Media and publishing,,0.59,0.76,0.6
UGOX,IVHLV748RHE3,Media and publishing,0.37,0.94,0,0.64
AXVB,GNCGZSJAQOG6,Multiline utilities,0.61,0.42,0.1,0.82
GJF,SR67L82NSWC8,Multiline utilities,0.17,0.89,0.58,0.31
VYLX,HNIBSS5IOQ23,Multiline utilities,0.54,0.3,0.98,0.13
TFK,JAASJO5OBR87,Oil and gas,0.96,0.91,,0.08
XRTW,UW8TZHM0WUF6,Personal and household,0.52,0.06,0.72,0.65
DNB,XGVW04KFVW74,Real estate operations,0.41,0.9,0.52,0.12
KCO,JFQ0NDR0XEO6,Real estate operations,0.27,0.55,0.61,0.52
TYJ,ZAD0N0IL7IB9,Renewable energy,0.97,0.4,0.09,0.49
MSC,VVMN9ZET32K6,Software and IT services,0.64,0.5,0.12,0.69
VFHV,LWT3GS8K9WG9,Transport infrastructure,0.77,0.28,,0.9
BQUH,CG5OQ5GNZ4O1,Aerospace and defense,0.21,0.99,0.71,0.04
YPJL,CYDTE0NVQ9J3,Aerospace and defense,0.86,0.35,0.05,0.69
YFTS,CGPHWM5N6N43,Automobiles and auto parts ,0.22,0.34,0.61,0.78
WLA,LAKFVMJR9V36,Biotechnology and medical research,0.45,0.76,0.02,0.72
PLS,IGK6ZJGYTD62,Collective investments,0.44,0.61,0.48,0.42
VRM,ZKWS4Y6NQXS9,Communications and networking,0.09,0.96,0.89,0.01
LTJR,MZHCK2UNQB30,Diversified industries,0.97,0.77,0.12,0.09
KWYJ,ZRZ407DD0S49,Food and drug retailing,0.76,0.22,0.97,
OLRO,XDBXDCTSXJU0,Food and tobacco,0.89,0.7,0.02,0.34
LDV,YU99VVB0R5L5,Healthcare equipment and supplies,0.31,0.09,0.79,0.76
TQJC,SXPWSMS3OO54,Healthcare equipment and supplies,0.94,0.18,0.53,0.3
WHT,TBMAWS7UKKQ8,Healthcare providers and services,0.61,0.43,0.65,0.26
KHH,FEETCFEGEDT0,Hotels and entertainment services,0.93,0.49,0.24,0.29
WJMA,UV8MDK6WAVE0,Investment banking and investment services,0.49,0.78,0.52,0.16
PME,YPJUQ4KM2TF9,"Machinery, tools, heavy vehicles, trains and ships",0.53,0.95,0.2,0.27
RJEQ,EGBRSXQ828G2,"Machinery, tools, heavy vehicles, trains and ships",0.52,0.25,0.84,0.34
YCCE,MKQ2N6MHOXF1,Media and publishing,0.38,0.47,0.14,0.96
HDK,CJDYF6S51YB3,Multiline utilities,0.27,0.55,0.85,0.28
KBJQ,UNXCLN2WZVD7,Natural gas utilities,0.29,0.57,0.77,0.32
YQQA,IB99AQ7TW2Z2,Natural gas utilities,0.22,0.21,0.54,0.98
TWEQ,PZ1XSF1XJV23,Oil and gas related equipment and services,0.73,0.8,0.42,
HTGU,PEB58IG5TCH3,Personal and household,0.87,0.15,0.48,0.45
GNU,OGRK4HFC25T9,Renewable energy,0.12,0.91,0.49,0.43
TKP,SH6HGWIZCPS8,Residential and commercial REITs,0.34,0.66,0.84,0.11
XTUE,QI0M88QILUF4,Software and IT services,0.03,0.55,0.94,0.43
EBU,XZCSUKJLCST3,Specialty retailers,0.73,0.42,0.05,0.75
LFOR,CXXA8H98VKW7,Specialty retailers,0.5,0.42,0.85,0.18
XXP,AP9OH64VF1E8,Telecommunications services,0.73,0.89,0.13,0.2
KPWR,ZX2HG4V1GP96,Textiles and apparel,0.44,0.04,0.48,0.99
LTWU,OPQ07VY7ZH60,Textiles and apparel,0.18,0.49,0.85,0.43
JAUU,QG57Z5XKKZ73,Transport infrastructure,0.25,0.09,0.62,0.99
GNDW,WR7EUHEXM5V2,Uranium,0.35,0.67,0.5,0.43
JLN,STM9M7C800R3,Uranium,0.81,,0.18,0.96
NNVY,HEOGE2HDGR59,Water and related utilities,0.69,0.28,0.28,0.7
WMR,GBH0SBWAJ7I6,Banking services,0.93,0.74,0.13,0.15
ZGW,ZU6D9ZC46AH7,Coal ,0.52,0.59,0.22,0.62
BMBE,RGQ4MM1BIBT7,Collective investments,0.97,0.58,0.04,0.36
KVWW,ESBUM9K12T09,"Computers, phones and household electronics ",0.44,0.49,0.43,0.59
ZQJV,VSPSR6CIPL53,"Computers, phones and household electronics ",0.63,0,0.73,0.59
FNN,PBGIJWKAM7H9,Healthcare providers and services,0.05,0.38,0.7,0.82
DYTC,IJZSMWZ9A3P1,Homebuilding and construction supplies,0.23,0.6,0.74,0.38
XSL,TT11Z7X9H710,Media and publishing,0.73,0.92,0.13,0.17
TXWH,GFDF4R0SFM81,Paper and forest products,0.71,0.24,0.42,0.58
XKII,YD8UZKMO5MO4,Passenger transportation services,0.49,0.98,0.35,0.13
EZW,AKAEBQ489W25,Residential and commercial REITs,0.39,0.85,0.14,0.57
HMB,QXN1XLVYI851,Residential and commercial REITs,0.2,0.16,0.75,0.84
ARCF,FB6HXPI9GC26,Software and IT services,0.29,0.87,0.6,0.19
THN,ODLRJD6SBRV0,Telecommunications services,0.01,0.77,0.58,0.59
XVD,VKWQ9CIEHL46,Uranium,0.87,0.49,0.2,0.39
TJLV,QYBMODZXNBW7,Automobiles and auto parts ,0.55,0.9,0.25,0.24
QBR,JOUJ2PZLXKE7,Banking services,0.13,0.13,0.9,0.78
BVC,DSFWMMM6O5E8,Beverages,0.93,0.56,,0.45
RBV,KS0O6WQTPRN4,Biotechnology and medical research,0.94,0.64,0.14,0.22
TWDW,CQZ8SPZNJ7J2,Construction and engineering,,0.88,0.78,0.28
OTWC,CS6EHXM6UPT9,Diversified industries,0.53,0.16,0.55,0.7
FSXH,JB951BTPYHS4,Food and tobacco,0.19,0.67,0.29,0.79
QHHY,BV5F9FS36H57,Food and tobacco,0.18,0.04,0.92,0.8
AKM,BLNUKDJDI8F0,Freight and logistics services,0.51,0.53,0.62,0.28
RUVZ,NB5NY69LF5N4,Homebuilding and construction supplies,0.75,0.55,0.1,0.54
FNVI,JFYPT1U8WJD5,Household goods,0.92,0.74,0.17,0.11
ZPOF,ZW9IMJOIJHF7,Industrial conglomerates,0.98,0.73,0.12,0.11
GPNU,NG5MJZAK49E9,Metals and mining ,0.4,,0.76,0.78
MBE,BHVACOW04179,Metals and mining ,0.83,0.81,0.2,0.1
JIJ,WLFRJC9E2VO4,Multiline utilities,0.28,0.92,0.49,0.25
LJE,XIQ964874WB3,Oil and gas,0.93,0.39,0.56,0.06
PRH,XL58S2KQUJ77,Oil and gas,0.61,0.74,0.25,0.34
MHJM,DIROLXRL33I0,Oil and gas related equipment and services,,0.81,0.8,0.33
CZR,XVMSLDBHZ8B7,Passenger transportation services,0.89,0.19,0.66,0.2
OUR,RCHUIZB7E865,Personal and household,0.05,0.66,0.7,0.53
IMF,TFQRDCUMM7Z6,Semiconductors,0.44,0.05,0.67,0.78
IAB,NFVPN2XLUFJ3,Transport infrastructure,0.01,0.9,0.52,0.51
XQV,VV4U3PXA6WM3,Water and related utilities,0.72,0.86,0.32,0.04
VDZ,PERSYJ1T0R43,Automobiles and auto parts ,0.02,0.69,0.25,0.98
ERL,AVDHG4DOGXG4,Banking services,0.67,0.62,0.24,0.41
VVSZ,JOOWYGMQ3M87,Banking services,0.36,0.67,0.56,0.35
WMY,EDL6Y40FKX84,Banking services,0.83,0.22,,0.89
YBE,YFBYKTIG0TX8,Banking services,0.25,0.89,0.45,0.35
ZLE,LCFMOUC1E0I8,Banking services,0.48,0.54,,0.92
AOTH,LMF4ZTZF3LA2,Biotechnology and medical research,0.71,0.75,0.11,0.37
PNM,YELLC53GFYO7,Biotechnology and medical research,0.45,0.22,0.7,0.57
LMAH,CNSIBK9R8WV3,Chemicals ,0.79,0.4,0.75,
LMR,KADEX5M7XP80,Chemicals ,0.59,0.62,0.49,0.24
GUUS,UUL1ALIJK8P6,Communications and networking,1,0.37,0.41,0.16
ALPN,SC13WYCDPTG2,"Computers, phones and household electronics ",0.37,0.05,0.56,0.96
QGLI,PWFXA24REAV9,"Computers, phones and household electronics ",0.31,0.29,0.99,0.35
QINN,EARLFXM7WFY1,"Computers, phones and household electronics ",0.74,0.06,0.85,0.29
DTT,UU7WJ3ID4M79,Construction and engineering,0.39,0.86,0.69,
KCWL,MLSX9OG1CLZ1,Containers and packaging ,0.99,0.35,0.23,0.37
RQA,HV1XJT9BPQZ1,Containers and packaging ,0.7,,0.85,0.39
GQF,KNW5TJ85RX25,Diversified industries,0.55,0.38,0.72,0.29
DQOO,XKGJT4E3HA53,Diversified retail,0.29,0.53,0.17,0.95
GNOI,ADZF1MOU2UP4,Diversified retail,,0.85,0.63,0.46
PIZ,YPAZWAEV61F9,Diversified retail,0.51,0.89,0.35,0.19
HZHY,PW103A6670W5,Electronic equipment and parts,,0.21,0.83,0.9
KRCD,JY3TJVKMH2F6,Electronic equipment and parts,0.18,0.43,0.43,0.9
WZT,SI38OF4UYA67,Food and drug retailing,0.91,0.49,0.42,0.12
LTE,AV8AB38QNY95,Food and tobacco,0.09,0.65,0.39,0.81
IFT,TH0TQYKOUKM1,Healthcare equipment and supplies,0.74,,0.52,0.68
VUX,XV4C0KLMHRX1,Healthcare providers and services,0.46,0.19,0.37,0.92
HNF,KB7REV3E3LN4,Hotels and entertainment services,0.37,0.63,0.63,0.31
IJCP,LENC4P9MM4F7,Hotels and entertainment services,0.91,0.57,0.46,
LQV,HXRW7PFX7UR3,Hotels and entertainment services,0.09,0.97,0.05,0.83
TRLQ,SQUO83L9UFO2,Hotels and entertainment services,0.57,0.92,,0.45
AKN,VGX0W23D5XC2,Household goods,0.44,0.49,0.63,0.38
DYI,IXHDAW9YAUG3,Insurance,0.82,0.41,0.34,0.37
LBW,DDGOJAS1AFS3,Insurance,0.22,0.28,0.83,0.61
SPK,DXPNSVGTW8I3,Insurance,0.3,0.53,0.15,0.96
FDUP,YGXUXFN6X840,Investment banking and investment services,0.17,0.21,0.97,0.59
TEE,THPFQJ7121W9,Investment holding companies,0.88,0.27,0.58,0.21
AWU,FLYSKC75W2F5,Leisure products,0.85,0.54,0.2,0.35
RGAG,AHZZV05E9R31,Leisure products,0.81,0.17,0.48,0.48
PCMC,KSB6LRC8XGR0,"Machinery, tools, heavy vehicles, trains and ships",0.24,0.49,0.77,0.44
PUE,ZWVESRRG1ZV6,Metals and mining ,0.79,0.9,0.09,0.16
MUYB,AF80BEGUGQ42,Multiline utilities,0.13,0.47,0.65,0.69
PMPL,RE8DGW4B05I8,Multiline utilities,,0.11,0.94,0.89
XHCI,DZSFQZ2NQPR1,Multiline utilities,0.92,0.83,0.01,0.18
CCP,RPHA0S1J7623,Oil and gas related equipment and services,0.63,0.36,0.47,0.48
KQA,SPHADKMI98E2,Oil and gas related equipment and services,0.52,0.03,0.8,0.59
GAI,ZWZEJVAM68N0,Paper and forest products,0.5,0.81,0.27,0.36
KWUU,MQ4Y28I40L21,Paper and forest products,0.64,0.88,0.23,0.19
UTB,MIMAH0LZCRH9,Paper and forest products,0.1,0.52,0.49,0.83
LIKS,UG82MZ8SDNN9,Passenger transportation services,0.16,0.57,0.3,0.91
LNET,IX4Z3UVCNPK0,Personal and household,0.14,0.45,0.99,0.36
VNW,TG7AJB1S1UA1,Personal and household,0.42,0.04,0.84,0.64
BRLY,IQD3KB6HAG51,Professional and commercial services,0.63,0.87,0.16,0.28
GGH,VOLH2ZHKQMO1,Professional and commercial services,0.83,0.24,0.51,0.36
HYA,SXV97LURAV11,Real estate operations,0.9,0.35,0.63,0.06
SFXA,SWNXSJ93UF39,Real estate operations,0.32,,0.66,0.96
SYL,UTZ3RW45GV55,Real estate operations,0.61,0.88,0.15,0.3
VPR,NEURWP0D1J38,Real estate operations,,0.98,0.48,0.48
AOPW,MFTOW9TP4VV1,Residential and commercial REITs,0.82,0.86,0.07,0.19
DQUA,YH9OKBRGTLC7,Residential and commercial REITs,0.18,0.74,0.65,0.37
HJY,RHPQJDX5PJ58,Residential and commercial REITs,0.38,0.03,0.8,0.73
PEA,NLS7IUBZ41G8,Residential and commercial REITs,0.5,0.41,0.45,0.58
HMFR,YBWXIEI1GSO3,Semiconductors,0.76,0,0.32,0.86
IUD,XUDCBPYG2W49,Semiconductors,0.99,0.07,0.04,0.84
OPAI,RIMNV4A37RJ0,Software and IT services,0.51,0.11,0.49,0.83
ZRMA,BDOMJ4HLPWS8,Software and IT services,0.51,0.62,0.79,0.02
CHRN,LTOUR3QP6K60,Specialty retailers,0.7,0.1,0.95,0.19
VYT,IX8RWWT4ZU81,Specialty retailers,0.75,0.57,0.02,0.6
YWWJ,DA1KHOMVGOJ8,Specialty retailers,0.67,,0.37,0.9
HRMJ,YUHW1IGZKUP3,Telecommunications services,0.68,0.6,0.06,0.6
LNY,INSQAJY8BHC2,Telecommunications services,0.97,0.31,,0.66
NHKW,HEB32AA0J0H4,Telecommunications services,0.66,0.68,0.23,0.37
ECIG,IODANZ9KBI86,Textiles and apparel,0.48,0.33,0.71,0.42
KZGA,QMLTWJGB3N26,Textiles and apparel,0.1,0.48,0.74,0.62
YAXR,RZ05EDJ0AGR2,Textiles and apparel,0.96,0.11,0.5,0.37
GLAY,EPLTB3T80ED5,Transport infrastructure,0.54,0.88,0.35,0.17
LXQ,PDOW5CVRHDK3,Transport infrastructure,0.52,0.57,0.06,0.79
IQN,ZU2HNSFDVHF4,Water and related utilities,0.89,,0.89,0.16
KGR,SKDOQX95BBZ5,Water and related utilities,0.46,0.56,0.32,0.6
WML,NJVW9TAV0R77,Collective investments,0.63,0.21,0.94,0.16
EJGM,CJLQ1TCOPJK7,Food and tobacco,0.47,0.6,0.7,0.17
TGU,AFWJNNIU76E3,Aerospace and defense,0.4,0.92,0.5,0.11
VEN,EMH1S2WFWMV7,Aerospace and defense,0.19,0.62,0.24,0.88
KHP,PWZ37L4W85K6,Biotechnology and medical research,0.12,0.35,0.55,0.91
PHR,DZKXMKCSI9J6,Biotechnology and medical research,0.9,0.13,0.9,
AGMI,BT7E9GK0FNH2,Coal ,0.76,0.27,0.28,0.62
MVS,HYO1X2PK6TK8,Collective investments,0.14,0.92,0.58,0.29
RBMR,IJTLR7BASPR3,Collective investments,0.88,0.04,0.66,0.35
JHPX,GKMHMKE2YHT2,"Computers, phones and household electronics ",0.42,0.4,0.9,0.21
PBKK,TMNQQ6ST7I72,"Computers, phones and household electronics ",0.25,0.22,0.67,0.79
EDU,YRQBK9AYOZ46,Construction and engineering,0.12,0.4,0.49,0.92
FOQ,KQ0VHIZ7P2W4,Construction materials ,,0.5,0.85,0.58
KNW,PLXD88UJNOF5,Diversified industries,0.8,0.3,0.28,0.55
QPW,EM5W9L6G6HZ5,Diversified industries,,0.26,0.81,0.86
DTV,WKWV6OTGI341,Electronic equipment and parts,0.7,0.15,0.41,0.67
LFJ,VWEF7WAG0TN9,Food and drug retailing,0.3,0.45,0.26,0.92
LUA,WTPDR27Q4UW0,Food and drug retailing,0.49,0.27,0.77,0.4
NZKA,WDWWPQ7U2LH7,Food and drug retailing,0.38,0.46,0.26,0.83
ZYTI,YZ0PYQWZH1M7,Food and drug retailing,0.61,0.33,0.12,0.87
LSRW,FF12L7O5CSE5,Freight and logistics services,0.62,0.01,0.63,0.67
RHCT,QPLA0WG1WRS0,Freight and logistics services,0.69,0.26,0.1,0.88
BEXC,PJUIA3YM6L94,Healthcare equipment and supplies,0.37,0.93,0.34,0.29
SGY,MAMS0UIZUDA9,Healthcare providers and services,0.73,0.87,0.19,0.14
WPI,WHRYJ3T2IJJ1,Healthcare providers and services,0.38,0.54,0.18,0.83
JTW,ELAF364EVXD9,Homebuilding and construction supplies,0.9,0.43,0.28,0.32
QMU,JWI19ZZ9KFI0,Household goods,0.55,0.34,0.98,0.06
PSOB,RAX8OZ9DUO37,Industrial conglomerates,0.73,0.27,0.05,0.88
AUBS,JDFRZK8X23S2,Insurance,0.25,0.93,0.36,0.39
OET,VVHUD2JIFZR8,Investment banking and investment services,0.51,,0.53,0.89
LGH,HOF2QKPE5SJ6,Investment holding companies,0.85,0.54,0.37,0.17
UBN,PVNALNSCXM37,Investment holding companies,0.81,,0.73,0.39
WDNV,LLLSNVMJ96Z5,Investment holding companies,0.65,0.39,0.11,0.78
MSQE,NS8LNW2Q3K55,Leisure products,0.67,0.12,0.8,0.34
EUA,EQHU50KG1916,Media and publishing,0.52,0.06,0.76,0.59
CYHX,ELMHJ1VK8GH1,Metals and mining ,0.95,0.38,0.23,0.37
KXV,THDUZ31K7353,Metals and mining ,0.63,0.63,0.29,0.38
MJCQ,IYW0ISQCE6C1,Multiline utilities,0.5,0.4,0.26,0.77
ZYVT,BUO26ZCMDEB4,Natural gas utilities,0.21,0.57,0.28,0.87
IOZG,ZMTYOQ2P46Q4,Office equipment,0.84,0.26,0.07,0.76
LKD,JVLV7538XAT7,Paper and forest products,0.2,0.18,0.9,0.65
GJNV,BBL9UDBUI2T9,Passenger transportation services,0.26,0.41,0.87,0.39
CYLZ,RRR4RXYCPJ77,Personal and household,0.34,0.75,0.01,0.83
QCK,CPJYD296C867,Personal and household,0.06,0.64,0.55,0.68
VHVT,BCLQ6JNO6L08,Personal and household,0.55,0.15,0.63,0.6
FBKX,SJRDHLLQD0K7,Professional and commercial services,0.38,0.54,0.22,0.79
UKGM,LTF0POOVS7J1,Real estate operations,0.46,0,0.86,0.61
LCG,WJGK2ULHXJD4,Renewable energy,0.79,0.28,0.82,0.04
MDMU,ZTQBCU0OAVM8,Semiconductors,0.28,0.8,0.81,0.04
JSX,HATMYH461D50,Software and IT services,0.44,0.63,,0.86
JLK,DIRKZ3FJYED7,Telecommunications services,0.81,0.73,0.12,0.27
MHC,RE8BC14E3DU0,Telecommunications services,0.54,0.56,0.54,0.29
PGLO,MUK1KU9OYKH2,Telecommunications services,0.51,0.45,0.14,0.83
JXCP,MZL644QIL879,Uranium,0.82,0.04,0.18,0.89
BTN,YSKJRXUPMP23,Water and related utilities,0.46,0.89,0.58,
AJH,TAT61EOMFIX5,Automobiles and auto parts ,0.42,0.35,0.73,0.43
GGPH,KWOOK0XSZ8A4,Biotechnology and medical research,0.28,0.82,0.61,0.22
QNR,WULZRDVEDY44,Construction materials ,0.65,0.13,0.39,0.76
DBNT,LCJDAC76JLC8,Containers and packaging ,,0.66,0.58,0.69
OFAY,FVS9G4SLE2L0,Diversified industries,,0.92,0.06,0.95
PGM,HKNHRPSII8S2,Diversified industries,0.95,0.15,0.31,0.52
VOU,BKNT2ISS4B56,Healthcare equipment and supplies,0.07,0.42,0.68,0.76
EGDW,HR98WSLRU4J9,Household goods,0.82,0.67,0.23,0.21
MFEV,GBGVDWRZGT83,Industrial conglomerates,0.38,0.44,0.93,0.18
ADS,NBARQUC46QR5,Insurance,0.22,0.11,0.86,0.74
SVWS,LUTJF3RG7EP3,Investment banking and investment services,0.43,0.7,0.27,0.53
MZO,RL4OLTHK8449,Investment holding companies,0.86,0.85,0.22,
MEQF,AR57WMXL60E1,"Machinery, tools, heavy vehicles, trains and ships",0.42,0.71,0.77,0.03
IKQB,XFIEI6IUC980,Multiline utilities,0.62,0.34,0.7,0.27
ERK,SUWYMN9SJED1,Natural gas utilities,0.49,0.3,0.4,0.74
HGR,SKFZFSV2RLP4,Office equipment,0.74,0.18,0.02,0.99
CJDT,AFP9SQN3KF34,Passenger transportation services,0.41,0.76,0.71,0.05
KAU,OLUICTNKM001,Personal and household,,0.71,0.27,0.95
CPUC,OW342BU8QY80,Professional and commercial services,0.88,0.71,0,0.34
EOLR,BZ72KPN12AM6,Professional and commercial services,0.71,0.43,0.33,0.46
QQQC,HULCMD0XU829,Professional and commercial services,0.76,0.99,0.18,
SSFX,LJE37ODFMSN2,Real estate operations,0.56,0.57,0.5,0.3
VJV,NFQMBY9J0W78,Residential and commercial REITs,0.79,0.52,0.36,0.26
MRL,NE5HQFCJZLQ0,Software and IT services,0.74,0.71,0.2,0.28
GNS,XWSQE0R5NUC5,Telecommunications services,0.25,0.28,0.66,0.74
XURJ,IXWC1793ZK50,Uranium,0.71,0.55,0.52,0.15
JBC,LTKLINYASR46,Construction materials ,0.82,0.25,0.86,
NIJL,TN37KN5C4BF6,Healthcare equipment and supplies,,0.36,0.98,0.59
URR,JCSGDH1I1GI2,Industrial conglomerates,0.06,0.59,0.42,0.86
ZZX,CMX9YD10UE52,Industrial conglomerates,0.24,0.1,0.73,0.86
HTHI,TRFQR56IGI83,Insurance,0.42,0.52,0.57,0.42
ZZO,BNIFH7C8NL33,Renewable energy,0.8,0.41,0.13,0.59
JQM,TXROL0IT6UV1,Textiles and apparel,0.75,0.36,0.24,0.58
MDOG,MM5OFIBNANT0,Aerospace and defense,0.91,0.08,0.38,0.55
SRR,WAI7ICN24V59,Automobiles and auto parts ,0.45,0.6,0.77,0.1
HHD,CPN9H2H59E90,Chemicals ,0.79,0.66,0.47,
GOY,ZWM3CD7N3D95,"Computers, phones and household electronics ",0.76,0.06,0.29,0.81
LKSG,ZZPT70UT4CO7,Containers and packaging ,0.45,0.2,0.49,0.78
JCR,LJ0WF481MDK2,Hotels and entertainment services,0.44,0.84,0.31,0.33
LQLQ,WN0QXS43W3U3,Investment banking and investment services,0.37,0.52,0.96,0.07
LZQ,RM9UCK9A1Y30,Multiline utilities,0.85,0.19,0.08,0.8
HTI,WHSZY1UDJ091,Personal and household,0.32,0.48,0.65,0.47
LIE,YEJYSPMSXLG6,Pharmaceuticals,0.03,0.72,0.68,0.49
EGD,EMHU3FRVF7C7,Real estate operations,0.28,0.95,0.62,0.07
TJN,PX6NYBS2BX01,Real estate operations,0.56,0.4,0.41,0.55
TCA,QYH2D54FB7G2,Software and IT services,0.81,0.89,0.05,0.17
CLZ,LWEACYNZD6P8,Water and related utilities,0.47,0.26,0.89,0.3
IPNS,EYX55ALDFTV4,Aerospace and defense,0.11,0.97,,0.84
UZTO,HUBHLF4GAFJ6,Aerospace and defense,0.89,0.24,0.5,0.29
MJP,OSRYQCDVB594,Automobiles and auto parts ,0.47,0.95,0.26,0.24
PHC,VWLS5XUFG7T6,Banking services,0.93,0.17,0.82,
GYVU,XQSUNSNW2RH0,Beverages,0.83,0.49,0.6,
AKA,TQFHP4NQCQJ7,Biotechnology and medical research,0.16,0.98,0.18,0.6
MJTS,FUSB1OADIPT3,Biotechnology and medical research,0.33,0.69,0.29,0.61
RBY,REWCW7Y8A624,Biotechnology and medical research,0.44,0.52,0.14,0.82
CUX,OMA58PH0INE2,Chemicals ,0.55,0.14,0.66,0.57
PREI,FKPLMN78ZQV0,Chemicals ,0.35,0.97,0.33,0.27
FGFE,BQGZRXQP7UO4,Coal ,0.75,0.12,0.55,0.5
RHV,RSUH2KHJ8V91,Collective investments,0.27,0.64,0.02,0.99
DGC,GZ1IYKCG4OC5,Communications and networking,0.68,0.63,0.18,0.43
GYPD,ZW26B02J0AH4,"Computers, phones and household electronics ",0.26,0.01,0.86,0.79
HXF,AZ7IXELREGH4,"Computers, phones and household electronics ",0.25,0.48,0.37,0.82
PYF,AZ6Z8FDUHMO3,"Computers, phones and household electronics ",0.74,0.09,0.95,0.14
GHFL,NAV2Y0YFQ978,Construction and engineering,0.2,0.49,0.24,0.99
HMU,QNA2H8CWOID6,Containers and packaging ,0.84,0.22,0.29,0.57
